Elememts Number:  1516	     8
 1679:	    2	    7
 1680:	    2	    7
 1682:	    1	    7
 1683:	    1	    7
 1684:	    1	    7
 1686:	    0	    8
 1687:	    2	    8
 1688:	    0	    8
 1690:	    0	    8
 1691:	    2	    8
 1692:	    0	    8
 1694:	    2	    7
 1695:	    2	    7
 1696:	    2	    7
 1698:	    1	    7
 1699:	    1	    7
 1700:	    1	    7
 1702:	    0	    8
 1703:	    2	    8
 1704:	    0	    8
 1706:	    0	    8
 1707:	    2	    8
 1708:	    0	    8
 1710:	    2	    7
 1711:	    2	    7
 1712:	    2	    7
 1714:	    1	    7
 1715:	    1	    7
 1716:	    1	    7
 1718:	    0	    8
 1719:	    2	    8
 1720:	    0	    8
 1722:	    0	    8
 1723:	    2	    8
 1724:	    0	    8
 1726:	    2	    7
 1727:	    2	    7
 1728:	    2	    7
 1730:	    1	    7
 1731:	    1	    7
 1732:	    1	    7
 1734:	    0	    8
 1735:	    2	    8
 1736:	    0	    8
 1738:	    0	    8
 1739:	    2	    8
 1740:	    0	    8
 1742:	    2	    7
 1743:	    2	    7
 1744:	    2	    7
 1746:	    0	    8
